1000 4 500
0.707552 0.522450 0.568012 0.363473
0.614569 0.354291 0.511506 0.253758
0.619078 0.472693 0.601921 0.371767
0.734063 0.429265 0.544748 0.296244
0.740302 0.403582 0.503289 0.406524
0.722185 0.394878 0.523988 0.358031
0.717122 0.465027 0.578326 0.423677
0.763222 0.394136 0.490929 0.420972
0.763355 0.457805 0.504427 0.353704
0.721759 0.468401 0.469249 0.367862
0.686327 0.488197 0.538728 0.410206
0.670490 0.461916 0.503525 0.372908
0.669314 0.356583 0.535917 0.367938
0.742490 0.509947 0.493298 0.472280
0.661924 0.463895 0.606821 0.379960
0.744006 0.461736 0.525074 0.352062
0.836178 0.440050 0.500348 0.344457
0.723504 0.422624 0.461404 0.366355
0.811236 0.429486 0.482528 0.428739
0.741484 0.477902 0.492289 0.429632
0.769806 0.454631 0.584695 0.386229
0.775417 0.463137 0.574143 0.423598
0.714969 0.451710 0.545595 0.371487
0.779247 0.480922 0.486668 0.300738
0.816660 0.480438 0.434740 0.432561
0.651503 0.406133 0.497390 0.391062
0.839544 0.431484 0.491111 0.362535
0.699307 0.487830 0.494120 0.401051
0.816649 0.538506 0.679237 0.459784
0.758909 0.405801 0.480344 0.512752
0.857576 0.416929 0.534154 0.472698
0.780528 0.453424 0.485013 0.480489
0.772565 0.500173 0.501385 0.475448
0.761488 0.388725 0.571903 0.473110
0.739787 0.365513 0.528374 0.471601
0.783841 0.398887 0.553788 0.395171
0.748698 0.451802 0.557094 0.404491
0.780829 0.317752 0.561370 0.446681
0.828294 0.516129 0.520574 0.413646
0.756469 0.466685 0.532672 0.339102
0.781505 0.420764 0.494840 0.405781
0.728937 0.453289 0.587638 0.399228
0.868164 0.426470 0.547585 0.359990
0.822266 0.444648 0.469277 0.388561
0.782241 0.438094 0.540011 0.393437
0.717338 0.388778 0.516352 0.451640
0.720453 0.478227 0.530540 0.447575
0.762881 0.469608 0.487577 0.442487
0.749274 0.487804 0.581736 0.421382
0.689503 0.557503 0.588477 0.432522
0.843158 0.424939 0.617164 0.410486
0.736155 0.513383 0.427092 0.344734
0.876635 0.485818 0.446122 0.393698
0.774371 0.508646 0.598270 0.423879
0.842107 0.453029 0.515484 0.411152
0.788526 0.387350 0.516610 0.447899
0.789666 0.577301 0.546619 0.468017
0.777408 0.369239 0.594468 0.378326
0.763383 0.399721 0.604809 0.392669
0.772523 0.395001 0.569681 0.419551
0.728332 0.476082 0.564019 0.441197
0.696442 0.449477 0.586392 0.361348
0.755145 0.397295 0.532914 0.406427
0.652110 0.333042 0.537741 0.411490
0.762156 0.450411 0.508223 0.389562
0.635781 0.352411 0.533192 0.396528
0.675716 0.451622 0.534882 0.379615
0.720629 0.425285 0.515708 0.378158
0.716757 0.494167 0.477559 0.334991
0.757366 0.428851 0.476093 0.287715
0.740200 0.458212 0.580199 0.418556
0.718656 0.403399 0.524999 0.413398
0.753602 0.474412 0.466700 0.399481
0.659498 0.511873 0.573451 0.404244
0.717150 0.468685 0.506022 0.398394
0.790395 0.464526 0.498004 0.324911
0.747420 0.389837 0.480191 0.433962
0.658131 0.417887 0.556912 0.487460
0.749191 0.392707 0.567596 0.468039
0.816345 0.535614 0.527206 0.415515
0.695547 0.386426 0.495653 0.374150
0.710453 0.470494 0.570817 0.427292
0.751393 0.511989 0.565375 0.445291
0.775125 0.386984 0.571415 0.349531
0.740765 0.374538 0.424300 0.368919
0.735224 0.417627 0.547074 0.436129
0.715917 0.417978 0.443044 0.330557
0.709712 0.412753 0.485690 0.369544
0.746267 0.391849 0.565008 0.374073
0.756854 0.432675 0.523538 0.359080
0.710466 0.378410 0.526021 0.377710
0.740009 0.443271 0.509131 0.414870
0.814732 0.500289 0.449464 0.500283
0.775692 0.374515 0.445728 0.429418
0.726058 0.473791 0.604015 0.320264
0.768436 0.466576 0.519228 0.404953
0.694628 0.518106 0.492596 0.445886
0.667111 0.444889 0.419497 0.460615
0.739194 0.421703 0.456276 0.501404
0.681480 0.419790 0.604220 0.372538
0.723247 0.416122 0.482523 0.342398
0.668987 0.476890 0.630710 0.459809
0.786683 0.497535 0.568065 0.342674
