familia,regimen,n,k,costo_fb,costo_bt,costo_pd,coinciden
uniforme,n/2,6,3,1.09262112,1.09262112,1.09262112,True
uniforme,n/2,8,4,0.9838269573,0.9838269573,0.9838269573,True
uniforme,n/2,10,5,1.236432888,1.236432888,1.236432888,True
uniforme,n/2,12,6,1.341752192,1.341752192,1.341752192,True
uniforme,n/2,14,7,1.029896723,1.029896723,1.029896723,True
uniforme,n/2,16,8,1.217782373,1.217782373,1.217782373,True
uniforme,n/2,18,9,0.7714873494,0.7714873494,0.7714873494,True
uniforme,n/2,20,10,1.09072276,1.09072276,1.09072276,True
uniforme,n/2,22,11,1.112070804,1.112070804,1.112070804,True
uniforme,n/2,24,12,1.006466056,1.006466056,1.006466056,True
uniforme,n/2,26,13,1.058127373,1.058127373,1.058127373,True
uniforme,n/2,28,14,1.180627688,1.180627688,1.180627688,True
uniforme,n/2,30,15,0.9551500282,0.9551500282,0.9551500282,True
uniforme,n/2,32,16,0.9182165895,0.9182165895,0.9182165895,True
uniforme,n/4,8,2,1.117123855,1.117123855,1.117123855,True
uniforme,n/4,12,3,0.9842043067,0.9842043067,0.9842043067,True
uniforme,n/4,16,4,1.057989702,1.057989702,1.057989702,True
uniforme,n/4,20,5,1.009046999,1.009046999,1.009046999,True
uniforme,n/4,24,6,1.371162907,1.371162907,1.371162907,True
uniforme,n/4,28,7,1.048572494,1.048572494,1.048572494,True
uniforme,n/4,32,8,0.9496039029,0.9496039029,0.9496039029,True
uniforme,n/4,36,9,0.8470307961,0.8470307961,0.8470307961,True
uniforme,n/4,40,10,1.168754728,1.168754728,1.168754728,True
uniforme,3n/4,8,6,1.153022481,1.153022481,1.153022481,True
uniforme,3n/4,12,9,0.8862294742,0.8862294742,0.8862294742,True
uniforme,3n/4,16,12,1.270746832,1.270746832,1.270746832,True
uniforme,3n/4,20,15,1.020592407,1.020592407,1.020592407,True
uniforme,3n/4,24,18,0.9600498804,0.9600498804,0.9600498804,True
uniforme,3n/4,28,21,1.105972916,1.105972916,1.105972916,True
uniforme,3n/4,32,24,0.8771543184,0.8771543184,0.8771543184,True
uniforme,3n/4,36,27,0.9581477217,0.9581477217,0.9581477217,True
estructura,n/2,6,3,0.2564677667,0.2564677667,0.2564677667,True
estructura,n/2,8,4,0.5957165829,0.5957165829,0.5957165829,True
estructura,n/2,10,5,0.2551840659,0.2551840659,0.2551840659,True
estructura,n/2,12,6,0.1556714353,0.1556714353,0.1556714353,True
estructura,n/2,14,7,0.2175628563,0.2175628563,0.2175628563,True
estructura,n/2,16,8,0.2478140688,0.2478140688,0.2478140688,True
estructura,n/2,18,9,0.1949420134,0.1949420134,0.1949420134,True
estructura,n/2,20,10,0.1759543597,0.1759543597,0.1759543597,True
estructura,n/2,22,11,0.1610362531,0.1610362531,0.1610362531,True
estructura,n/2,24,12,0.1459650009,0.1459650009,0.1459650009,True
estructura,n/2,26,13,0.1915691057,0.1915691057,0.1915691057,True
estructura,n/2,28,14,0.1843678783,0.1843678783,0.1843678783,True
estructura,n/2,30,15,0.1375021253,0.1375021253,0.1375021253,True
estructura,n/2,32,16,0.1424905543,0.1424905543,0.1424905543,True
estructura,n/4,8,2,1.652565717,1.652565717,1.652565717,True
estructura,n/4,12,3,0.2190480863,0.2190480863,0.2190480863,True
estructura,n/4,16,4,0.1978904159,0.1978904159,0.1978904159,True
estructura,n/4,20,5,0.3404024992,0.3404024992,0.3404024992,True
estructura,n/4,24,6,0.2449013321,0.2449013321,0.2449013321,True
estructura,n/4,28,7,0.2525783263,0.2525783263,0.2525783263,True
estructura,n/4,32,8,0.2033124687,0.2033124687,0.2033124687,True
estructura,n/4,36,9,0.2296436735,0.2296436735,0.2296436735,True
estructura,n/4,40,10,0.2049517958,0.2049517958,0.2049517958,True
estructura,3n/4,8,6,0.2297054371,0.2297054371,0.2297054371,True
estructura,3n/4,12,9,0.2749987995,0.2749987995,0.2749987995,True
estructura,3n/4,16,12,0.2403249616,0.2403249616,0.2403249616,True
estructura,3n/4,20,15,0.1615575657,0.1615575657,0.1615575657,True
estructura,3n/4,24,18,0.1891623045,0.1891623045,0.1891623045,True
estructura,3n/4,28,21,0.2194289517,0.2194289517,0.2194289517,True
estructura,3n/4,32,24,0.1619765624,0.1619765624,0.1619765624,True
estructura,3n/4,36,27,0.1798695143,0.1798695143,0.1798695143,True
adversarial,n/2,6,3,1,1,1,True
adversarial,n/2,8,4,1,1,1,True
adversarial,n/2,10,5,1.414213562,1.414213562,1.414213562,True
adversarial,n/2,12,6,1,1,1,True
adversarial,n/2,14,7,1,1,1,True
adversarial,n/2,16,8,1,1,1,True
adversarial,n/2,18,9,1,1,1,True
adversarial,n/2,20,10,1,1,1,True
adversarial,n/2,22,11,1,1,1,True
adversarial,n/2,24,12,1,1,1,True
adversarial,n/2,26,13,1,1,1,True
adversarial,n/2,28,14,1,1,1,True
adversarial,n/2,30,15,1,1,1,True
adversarial,n/2,32,16,1.414213562,1.414213562,1.414213562,True
adversarial,n/4,8,2,1.414213562,1.414213562,1.414213562,True
adversarial,n/4,12,3,1,1,1,True
adversarial,n/4,16,4,1,1,1,True
adversarial,n/4,20,5,1,1,1,True
adversarial,n/4,24,6,1,1,1,True
adversarial,n/4,28,7,1.414213562,1.414213562,1.414213562,True
adversarial,n/4,32,8,1.414213562,1.414213562,1.414213562,True
adversarial,n/4,36,9,1,1,1,True
adversarial,n/4,40,10,1.414213562,1.414213562,1.414213562,True
adversarial,3n/4,8,6,1,1,1,True
adversarial,3n/4,12,9,1,1,1,True
adversarial,3n/4,16,12,1,1,1,True
adversarial,3n/4,20,15,1,1,1,True
adversarial,3n/4,24,18,1,1,1,True
adversarial,3n/4,28,21,1,1,1,True
adversarial,3n/4,32,24,1,1,1,True
adversarial,3n/4,36,27,1,1,1,True
