familia,regimen,n,d,k,algoritmo,costo,nodos,ms,ms_min,ms_max,corridas,estado
uniforme,n/2,6,12,3,fb,1.09262112,,0.001,0.00075,0.001042,3,ok
uniforme,n/2,6,12,3,bt,1.09262112,2,0.000792,0.00075,0.000834,3,ok
uniforme,n/2,6,12,3,pd,1.09262112,,0.0015,0.001292,0.001542,3,ok
uniforme,n/2,8,12,4,fb,0.9838269573,,0.001583,0.0015,0.001584,3,ok
uniforme,n/2,8,12,4,bt,0.9838269573,3,0.000792,0.000708,0.000833,3,ok
uniforme,n/2,8,12,4,pd,0.9838269573,,0.0015,0.0015,0.001875,3,ok
uniforme,n/2,10,12,5,fb,1.236432888,,0.003834,0.003458,0.003834,3,ok
uniforme,n/2,10,12,5,bt,1.236432888,11,0.0015,0.001458,0.001584,3,ok
uniforme,n/2,10,12,5,pd,1.236432888,,0.002125,0.002,0.00225,3,ok
uniforme,n/2,12,12,6,fb,1.341752192,,0.013166,0.013083,0.013458,3,ok
uniforme,n/2,12,12,6,bt,1.341752192,24,0.002167,0.002042,0.00225,3,ok
uniforme,n/2,12,12,6,pd,1.341752192,,0.002458,0.002375,0.002667,3,ok
uniforme,n/2,14,12,7,fb,1.029896723,,0.057125,0.056875,0.057125,3,ok
uniforme,n/2,14,12,7,bt,1.029896723,24,0.002125,0.001916,0.002125,3,ok
uniforme,n/2,14,12,7,pd,1.029896723,,0.003542,0.003292,0.003792,3,ok
uniforme,n/2,16,12,8,fb,1.217782373,,0.24325,0.242083,0.243458,3,ok
uniforme,n/2,16,12,8,bt,1.217782373,45,0.003208,0.003083,0.003333,3,ok
uniforme,n/2,16,12,8,pd,1.217782373,,0.004583,0.004458,0.00475,3,ok
uniforme,n/2,18,12,9,fb,0.7714873494,,1.03925,1.034875,1.040375,3,ok
uniforme,n/2,18,12,9,bt,0.7714873494,18,0.002333,0.002125,0.002416,3,ok
uniforme,n/2,18,12,9,pd,0.7714873494,,0.005958,0.005625,0.006208,3,ok
uniforme,n/2,20,12,10,fb,1.09072276,,4.399334,4.3205,4.40625,3,ok
uniforme,n/2,20,12,10,bt,1.09072276,118,0.008541,0.008417,0.008791,3,ok
uniforme,n/2,20,12,10,pd,1.09072276,,0.007375,0.00725,0.007791,3,ok
uniforme,n/2,22,12,11,fb,1.112070804,,18.318,18.211875,18.500667,3,ok
uniforme,n/2,22,12,11,bt,1.112070804,64,0.005375,0.005375,0.0055,3,ok
uniforme,n/2,22,12,11,pd,1.112070804,,0.009333,0.009125,0.009417,3,ok
uniforme,n/2,24,12,12,fb,1.006466056,,75.890709,75.60425,76.796917,3,ok
uniforme,n/2,24,12,12,bt,1.006466056,84,0.007833,0.00775,0.007916,3,ok
uniforme,n/2,24,12,12,pd,1.006466056,,0.011375,0.011292,0.011625,3,ok
uniforme,n/2,26,12,13,fb,1.058127373,,313.830125,310.462292,317.207125,3,ok
uniforme,n/2,26,12,13,bt,1.058127373,58,0.006042,0.006041,0.006208,3,ok
uniforme,n/2,26,12,13,pd,1.058127373,,0.014125,0.014125,0.014417,3,ok
uniforme,n/2,28,12,14,fb,1.180627688,,1296.574041,1295.628084,1307.986375,3,ok
uniforme,n/2,28,12,14,bt,1.180627688,261,0.024625,0.02275,0.024875,3,ok
uniforme,n/2,28,12,14,pd,1.180627688,,0.016916,0.015916,0.017375,3,ok
uniforme,n/2,30,12,15,fb,0.9551500282,,5124.289458,5080.974333,5129.689666,3,ok
