familia,configuracion,base_nodos,r2_nodos,base_ms,r2_ms,exponente_loglog_nodos,r2_loglog,nodos_n28,ms_n28,reduccion_nodos_n28,reduccion_ms_n28,ns_por_nodo_n28,media_geometrica_nodos
uniforme,ninguna,2,1,1.990471144,0.9999846625,11.1329035,0.9704300269,67108864,703.472834,1,1,10.48256209,65536
uniforme,factibilidad,1.966064036,0.9999987749,1.961512932,0.9999849325,10.8567277,0.9701950715,27041560,291.05475,2.481693512,2.416977679,10.76323814,31062.37294
uniforme,optimalidad,1.175558825,0.7537157695,1.162402619,0.6541591936,2.715866638,0.7994077794,422,0.040708,159025.7441,17280.94807,96.46445498,57.05644034
uniforme,ambas,1.175986926,0.7683675047,1.160658788,0.6490149191,2.715728348,0.8112084008,261,0.02425,257122.0843,29009.18903,92.91187739,36.38260123
estructura,ninguna,2,1,1.991594672,0.9999912225,11.1329035,0.9704300269,67108864,702.686416,1,1,10.47084355,65536
estructura,factibilidad,1.966064036,0.9999987749,1.962275949,0.9999948426,10.8567277,0.9701950715,27041560,283.188959,2.481693512,2.481334083,10.47236029,31062.37294
estructura,optimalidad,1.058915517,0.4803253667,1.068641939,0.3998269882,0.9564502517,0.5044046422,71,0.008584,945195.2676,81860.0205,120.9014085,37.86803812
estructura,ambas,1.073031234,0.5252520639,1.066518134,0.4030429976,1.192337408,0.5653784684,45,0.005708,1491308.089,123105.5389,126.8444444,22.9303966
adversarial,ninguna,2,1,1.991659018,0.9999780533,11.1329035,0.9704300269,67108864,708.276041,1,1,10.55413546,65536
adversarial,factibilidad,1.966064036,0.9999987749,1.957973263,0.9999800377,10.8567277,0.9701950715,27041560,283.660041,2.481693512,2.49691863,10.48978095,31062.37294
adversarial,optimalidad,1.090632948,0.3590946892,1.135320962,0.6607688744,1.237830821,0.2749847564,76,0.008542,883011.3684,82916.88609,112.3947368,21.61586687
adversarial,ambas,1.099715253,0.4802315582,1.113932457,0.6083646116,1.396916641,0.3901880367,56,0.005709,1198372.571,124063.0655,101.9464286,15.93242554
