familia,serie,n,d,k,configuracion,nodos,costo,ms,ms_min,ms_max,corridas,estado
uniforme,vs_n,8,12,4,ninguna,64,0.9838269573,0.001625,0.0015,0.001666,3,ok
uniforme,vs_n,8,12,4,factibilidad,36,0.9838269573,0.001458,0.001375,0.0015,3,ok
uniforme,vs_n,8,12,4,optimalidad,4,0.9838269573,0.00075,0.000708,0.000917,3,ok
uniforme,vs_n,8,12,4,ambas,3,0.9838269573,0.00075,0.000708,0.000792,3,ok
uniforme,vs_n,10,12,5,ninguna,256,1.236432888,0.00375,0.003709,0.00375,3,ok
uniforme,vs_n,10,12,5,factibilidad,140,1.236432888,0.0025,0.002333,0.002583,3,ok
uniforme,vs_n,10,12,5,optimalidad,20,1.236432888,0.001875,0.001834,0.001916,3,ok
uniforme,vs_n,10,12,5,ambas,11,1.236432888,0.001334,0.001333,0.001375,3,ok
uniforme,vs_n,12,12,6,ninguna,1024,1.341752192,0.01225,0.012167,0.012375,3,ok
uniforme,vs_n,12,12,6,factibilidad,540,1.341752192,0.007042,0.006625,0.007208,3,ok
uniforme,vs_n,12,12,6,optimalidad,46,1.341752192,0.003166,0.002833,0.0035,3,ok
uniforme,vs_n,12,12,6,ambas,24,1.341752192,0.002542,0.001875,0.002708,3,ok
uniforme,vs_n,14,12,7,ninguna,4096,1.029896723,0.046541,0.045208,0.051417,3,ok
uniforme,vs_n,14,12,7,factibilidad,2079,1.029896723,0.0245,0.024125,0.028584,3,ok
uniforme,vs_n,14,12,7,optimalidad,31,1.029896723,0.00275,0.002417,0.002958,3,ok
uniforme,vs_n,14,12,7,ambas,24,1.029896723,0.002167,0.001958,0.002334,3,ok
uniforme,vs_n,16,12,8,ninguna,16384,1.217782373,0.184208,0.180666,0.220666,3,ok
uniforme,vs_n,16,12,8,factibilidad,8008,1.217782373,0.089208,0.08775,0.089459,3,ok
uniforme,vs_n,16,12,8,optimalidad,71,1.217782373,0.004959,0.004792,0.005166,3,ok
uniforme,vs_n,16,12,8,ambas,45,1.217782373,0.003041,0.003,0.00325,3,ok
uniforme,vs_n,18,12,9,ninguna,65536,0.7714873494,0.722625,0.710208,0.729875,3,ok
uniforme,vs_n,18,12,9,factibilidad,30888,0.7714873494,0.341625,0.33525,0.342375,3,ok
uniforme,vs_n,18,12,9,optimalidad,32,0.7714873494,0.003167,0.003041,0.0035,3,ok
uniforme,vs_n,18,12,9,ambas,18,0.7714873494,0.001958,0.001833,0.002125,3,ok
uniforme,vs_n,20,12,10,ninguna,262144,1.09072276,2.850458,2.798833,2.944458,3,ok
uniforme,vs_n,20,12,10,factibilidad,119340,1.09072276,1.326625,1.294542,1.329209,3,ok
uniforme,vs_n,20,12,10,optimalidad,175,1.09072276,0.012541,0.011875,0.012583,3,ok
uniforme,vs_n,20,12,10,ambas,118,1.09072276,0.008125,0.008125,0.00825,3,ok
uniforme,vs_n,22,12,11,ninguna,1048576,1.112070804,11.303625,11.238833,11.337125,3,ok
uniforme,vs_n,22,12,11,factibilidad,461890,1.112070804,4.94225,4.936458,4.944916,3,ok
uniforme,vs_n,22,12,11,optimalidad,99,1.112070804,0.00825,0.008042,0.008333,3,ok
uniforme,vs_n,22,12,11,ambas,64,1.112070804,0.005041,0.004917,0.00525,3,ok
uniforme,vs_n,24,12,12,ninguna,4194304,1.006466056,46.230125,46.11325,46.668083,3,ok
uniforme,vs_n,24,12,12,factibilidad,1790712,1.006466056,19.365875,19.347458,19.662458,3,ok
uniforme,vs_n,24,12,12,optimalidad,109,1.006466056,0.011417,0.011292,0.011583,3,ok
uniforme,vs_n,24,12,12,ambas,84,1.006466056,0.007375,0.007375,0.00775,3,ok
uniforme,vs_n,26,12,13,ninguna,16777216,1.058127373,178.551833,177.48925,180.286584,3,ok
uniforme,vs_n,26,12,13,factibilidad,6953544,1.058127373,74.748375,74.2735,74.900458,3,ok
uniforme,vs_n,26,12,13,optimalidad,101,1.058127373,0.009541,0.009416,0.009834,3,ok
uniforme,vs_n,26,12,13,ambas,58,1.058127373,0.005916,0.005542,0.005958,3,ok
uniforme,vs_n,28,12,14,ninguna,67108864,1.180627688,703.472834,702.623041,715.019792,3,ok
uniforme,vs_n,28,12,14,factibilidad,27041560,1.180627688,291.05475,283.210125,302.875208,3,ok
uniforme,vs_n,28,12,14,optimalidad,422,1.180627688,0.040708,0.040291,0.04075,3,ok
uniforme,vs_n,28,12,14,ambas,261,1.180627688,0.02425,0.024125,0.024334,3,ok
uniforme,vs_k,24,12,2,ninguna,24,1.257328022,0.000792,0.00075,0.000916,3,ok
uniforme,vs_k,24,12,2,factibilidad,2,1.257328022,0.0005,0.000459,0.000542,3,ok
uniforme,vs_k,24,12,2,optimalidad,10,1.257328022,0.000958,0.000958,0.001042,3,ok
uniforme,vs_k,24,12,2,ambas,1,1.257328022,0.000417,0.000333,0.0005,3,ok
uniforme,vs_k,24,12,4,ninguna,2048,1.207994151,0.026583,0.026167,0.02675,3,ok
uniforme,vs_k,24,12,4,factibilidad,484,1.207994151,0.007167,0.007125,0.007208,3,ok
uniforme,vs_k,24,12,4,optimalidad,103,1.207994151,0.00925,0.009083,0.009792,3,ok
uniforme,vs_k,24,12,4,ambas,55,1.207994151,0.004458,0.004375,0.004708,3,ok
uniforme,vs_k,24,12,6,ninguna,44552,1.371162907,0.537708,0.535834,0.576833,3,ok
uniforme,vs_k,24,12,6,factibilidad,16170,1.371162907,0.199625,0.198167,0.228333,3,ok
uniforme,vs_k,24,12,6,optimalidad,110,1.371162907,0.009,0.008958,0.009125,3,ok
uniforme,vs_k,24,12,6,ambas,64,1.371162907,0.005792,0.0055,0.005917,3,ok
uniforme,vs_k,24,12,8,ninguna,390656,0.8950914591,4.5755,4.508833,4.582125,3,ok
uniforme,vs_k,24,12,8,factibilidad,175560,0.8950914591,2.04725,2.046916,2.106917,3,ok
uniforme,vs_k,24,12,8,optimalidad,28,0.8950914591,0.00375,0.003583,0.004458,3,ok
uniforme,vs_k,24,12,8,ambas,20,0.8950914591,0.002667,0.002542,0.002667,3,ok
uniforme,vs_k,24,12,10,ninguna,1698160,0.9299023192,19.130417,18.978166,19.25725,3,ok
uniforme,vs_k,24,12,10,factibilidad,810084,0.9299023192,9.122625,9.077708,9.154333,3,ok
uniforme,vs_k,24,12,10,optimalidad,58,0.9299023192,0.006583,0.006542,0.006959,3,ok
uniforme,vs_k,24,12,10,ambas,34,0.9299023192,0.004208,0.004166,0.004459,3,ok
uniforme,vs_k,24,12,12,ninguna,4194304,1.006466056,45.364542,45.355416,46.006667,3,ok
uniforme,vs_k,24,12,12,factibilidad,1790712,1.006466056,19.343583,19.202583,19.563084,3,ok
uniforme,vs_k,24,12,12,optimalidad,109,1.006466056,0.011791,0.011084,0.013792,3,ok
uniforme,vs_k,24,12,12,ambas,84,1.006466056,0.007375,0.007167,0.007584,3,ok
uniforme,vs_k,24,12,14,ninguna,6690448,0.7661906779,70.39,69.9955,70.642792,3,ok
uniforme,vs_k,24,12,14,factibilidad,1998724,0.7661906779,20.210833,20.203083,20.277916,3,ok
uniforme,vs_k,24,12,14,optimalidad,129,0.7661906779,0.010459,0.010375,0.010667,3,ok
uniforme,vs_k,24,12,14,ambas,80,0.7661906779,0.005792,0.005583,0.005834,3,ok
uniforme,vs_k,24,12,16,ninguna,7997952,0.9420133642,82.547958,82.157792,82.81475,3,ok
uniforme,vs_k,24,12,16,factibilidad,1136960,0.9420133642,10.86325,10.863125,10.919333,3,ok
uniforme,vs_k,24,12,16,optimalidad,140,0.9420133642,0.011167,0.011,0.0115,3,ok
uniforme,vs_k,24,12,16,ambas,102,0.9420133642,0.006541,0.006416,0.006667,3,ok
uniforme,vs_k,24,12,18,ninguna,8344056,0.9600498804,85.27375,83.974459,86.002333,3,ok
uniforme,vs_k,24,12,18,factibilidad,319770,0.9600498804,2.837791,2.834959,2.938958,3,ok
uniforme,vs_k,24,12,18,optimalidad,121,0.9600498804,0.009542,0.009334,0.009584,3,ok
uniforme,vs_k,24,12,18,ambas,88,0.9600498804,0.005042,0.004959,0.005417,3,ok
uniforme,vs_k,24,12,20,ninguna,8386560,0.9745516686,86.294375,85.837916,87.026375,3,ok
uniforme,vs_k,24,12,20,factibilidad,40964,0.9745516686,0.340917,0.339417,0.360208,3,ok
uniforme,vs_k,24,12,20,optimalidad,108,0.9745516686,0.0085,0.008458,0.008917,3,ok
uniforme,vs_k,24,12,20,ambas,58,0.9745516686,0.003583,0.0035,0.003625,3,ok
uniforme,vs_k,24,12,22,ninguna,8388584,0.8793867751,85.663166,85.421792,85.728375,3,ok
uniforme,vs_k,24,12,22,factibilidad,2002,0.8793867751,0.017041,0.016291,0.017959,3,ok
uniforme,vs_k,24,12,22,optimalidad,60,0.8793867751,0.005792,0.005667,0.005917,3,ok
uniforme,vs_k,24,12,22,ambas,26,0.8793867751,0.001916,0.001875,0.001917,3,ok
uniforme,vs_k,24,12,24,ninguna,8388608,0,84.8105,84.733,85.871792,3,ok
uniforme,vs_k,24,12,24,factibilidad,24,0,0.001208,0.001208,0.00125,3,ok
uniforme,vs_k,24,12,24,optimalidad,1,0,0.001375,0.001333,0.001375,3,ok
