serie,n,d,k,costo,maxrss_mb,modelo_ops,ms,ms_min,ms_max,corridas,estado
vs_n,250,12,125,0.1405393272,1.5625,23435976,10.836041,10.536833,11.359834,3,ok
vs_n,500,12,250,0.1282631088,1.796875,187496976,85.0805,84.500958,85.538334,3,ok
vs_n,750,12,375,0.1355990211,2.203125,632807976,279.857875,277.417417,281.347458,3,ok
vs_n,1000,12,500,0.1048232096,2.609375,1499993976,655.427625,654.724042,655.910958,3,ok
vs_n,1500,12,750,0.09527887204,4.078125,5062490976,2229.841125,2228.816542,2265.593209,3,ok
vs_n,2000,12,1000,0.09179317178,5.703125,11999987976,5333.926416,5290.191042,5484.911208,3,ok
vs_n,2500,12,1250,0.08673823124,8.15625,23437484976,10493.867,10451.77471,10634.26721,3,ok
vs_n,3000,12,1500,0.1050570908,10.84375,40499981976,18101.39013,18046.90442,18121.0185,3,ok
vs_k,1000,12,2,1.480019366,1.609375,12000,0.01525,0.01525,0.01575,3,ok
vs_k,1000,12,10,0.258606215,1.640625,94291776,43.114,43.066917,43.382041,3,ok
vs_k,1000,12,25,0.2760513213,1.71875,262922976,117.442416,117.3225,118.154417,3,ok
vs_k,1000,12,50,0.2730240885,1.796875,520946976,233.415083,229.116958,234.782875,3,ok
vs_k,1000,12,100,0.2075434084,2,954689976,424.058875,417.406042,424.102167,3,ok
vs_k,1000,12,150,0.1755304754,2.203125,1286192976,567.222708,562.366,569.462041,3,ok
vs_k,1000,12,200,0.1474150581,2.390625,1524455976,673.92775,666.187958,674.37425,3,ok
vs_k,1000,12,250,0.1468519862,2.390625,1678478976,737.815833,733.999334,744.916125,3,ok
vs_k,1000,12,300,0.1119767692,2.546875,1757261976,775.269584,768.125542,778.512917,3,ok
vs_k,1000,12,350,0.09133930716,2.71875,1769804976,779.100375,775.632958,780.896,3,ok
vs_k,1000,12,400,0.09915129748,2.671875,1725107976,759.696041,754.91375,764.653791,3,ok
vs_k,1000,12,500,0.1048232096,2.609375,1499993976,661.367792,660.616791,683.172791,3,ok
vs_k,1000,12,600,0.1231606304,2.65625,1153919976,511.212417,508.2445,532.138125,3,ok
vs_k,1000,12,700,0.09530977141,2.546875,758885976,336.191,335.928542,336.382875,3,ok
vs_k,1000,12,800,0.1357264343,2.328125,386891976,173.361958,172.815833,173.729625,3,ok
vs_k,1000,12,900,0.0996158502,2.015625,109937976,50.407542,50.314709,50.450459,3,ok
vs_k,1000,12,950,0.1021050871,1.84375,29600976,13.642458,13.5925,13.734834,3,ok
vs_k,1000,12,990,0.08248163368,1.703125,1446576,0.685208,0.674917,0.695583,3,ok
vs_k,1000,12,1000,0,1.65625,23976,0.037,0.036792,0.040417,3,ok
vs_d,1000,1,500,2e-05,2.515625,124999498,212.0955,211.456666,212.172291,3,ok
vs_d,1000,2,500,0.001918287707,2.515625,249998996,240.42225,239.788083,242.209459,3,ok
vs_d,1000,4,500,0.01586056638,2.546875,499997992,325.897875,323.858709,327.13725,3,ok
vs_d,1000,8,500,0.05436622541,2.578125,999995984,463.293167,462.86875,463.436292,3,ok
vs_d,1000,12,500,0.1048232096,2.609375,1499993976,671.456084,670.712917,674.012292,3,ok
vs_d,1000,16,500,0.1169714193,2.625,1999991968,841.93775,835.143625,842.527917,3,ok
vs_d,1000,24,500,0.2131354387,2.6875,2999987952,1321.596916,1320.969084,1357.829875,3,ok
vs_d,1000,32,500,0.2523229672,2.75,3999983936,1790.65525,1787.215542,1794.308333,3,ok
