algoritmo,n,k,ms_cpp,ms_python,cociente
bt,25,12,0.004042,0.2478749957,61.32483812
bt,50,25,0.031959,3.307792009,103.5011111
bt,100,50,0.321708,37.487625,116.526866
bt,200,100,5.267292,603.722916,114.6173244
bt,400,200,25.747792,2978.70125,115.6876384
bt,800,400,139.800625,16802.88913,120.1918026
pd,100,50,0.682083,73.93483398,108.3956556
pd,200,100,5.414334,573.901083,105.9966162
pd,400,200,44.249416,4619.232459,104.3908118
pd,600,300,145.889875,15695.19454,107.5824799
pd,800,400,341.435291,37372.41325,109.4567967
pd,1000,500,667.891708,73182.31117,109.5721212
