algoritmo,lenguaje,familia,n,d,k,costo,nodos,ms,ms_min,ms_max,corridas,estado
bt,cpp,estructura,25,12,12,0.1228173415,23,0.004042,0.003583,0.004291,3,ok
bt,python,estructura,25,12,12,0.1228173415,23,0.2478749957,0.2458330127,0.2577920095,3,ok
bt,cpp,estructura,50,12,25,0.1257155492,227,0.031959,0.0315,0.033292,3,ok
bt,python,estructura,50,12,25,0.1257155492,227,3.307792009,3.263749997,3.373166983,3,ok
bt,cpp,estructura,100,12,50,0.1505396219,1010,0.321708,0.317375,0.323125,3,ok
bt,python,estructura,100,12,50,0.1505396219,1010,37.487625,36.82941699,37.83458302,3,ok
bt,cpp,estructura,200,12,100,0.1603674107,7396,5.267292,5.230375,5.270334,3,ok
bt,python,estructura,200,12,100,0.1603674107,7396,603.722916,603.162125,604.784208,3,ok
bt,cpp,estructura,400,12,200,0.1333726841,18684,25.747792,25.738375,25.899458,3,ok
bt,python,estructura,400,12,200,0.1333726841,18684,2978.70125,2963.486958,3010.152292,3,ok
bt,cpp,estructura,800,12,400,0.1238983246,51789,139.800625,139.019458,141.013791,3,ok
bt,python,estructura,800,12,400,0.1238983246,51789,16802.88913,16793.76808,16883.52046,3,ok
pd,cpp,estructura,100,12,50,0.1505396219,,0.682083,0.670084,0.688791,3,ok
pd,python,estructura,100,12,50,0.1505396219,,73.93483398,73.74187501,76.432125,3,ok
pd,cpp,estructura,200,12,100,0.1603674107,,5.414334,5.4055,5.4305,3,ok
pd,python,estructura,200,12,100,0.1603674107,,573.901083,573.459125,581.515834,3,ok
pd,cpp,estructura,400,12,200,0.1333726841,,44.249416,44.021875,44.730667,3,ok
pd,python,estructura,400,12,200,0.1333726841,,4619.232459,4578.769,4648.150042,3,ok
pd,cpp,estructura,600,12,300,0.1163602481,,145.889875,144.670708,147.64475,3,ok
pd,python,estructura,600,12,300,0.1163602481,,15695.19454,15642.48487,15750.60433,3,ok
pd,cpp,estructura,800,12,400,0.1238983246,,341.435291,340.836875,343.934333,3,ok
pd,python,estructura,800,12,400,0.1238983246,,37372.41325,37354.77092,37433.84342,3,ok
pd,cpp,estructura,1000,12,500,0.1048232096,,667.891708,666.194791,675.682875,3,ok
pd,python,estructura,1000,12,500,0.1048232096,,73182.31117,73055.92312,73312.14787,3,ok
