nombre,caracteristicas,n,d,proporcion,k,costo_optimo,costo_truncar,costo_uniforme,saltos_optimo,saltos_uniforme,tramos_descartados,largo_max,largo_medio,percentil_saltos,percentil_truncar,duracion_original_s,duracion_recorte_s,ms,estado
action,croma,347,12,0.5,174,0.1115394549,0.7270584158,87.43492397,1,173,173,173,173,0.16,27.87,190.197551,102.263583,28.480833,ok
action,croma,347,12,0.7,243,0.1998367648,0.4707860873,56.23058739,2,104,79;25,79,52,0.02;0.30,12.03,190.197551,137.372155,14.247375,ok
action,croma,347,12,0.9,312,0.2044131049,0.6753040352,17.49570976,2,35,19;16,19,17.5,0.64;0.00,23.64,190.197551,172.109208,2.157542,ok
ascending_the_vale,croma,384,12,0.5,192,0.07622647828,1.346898296,77.40796077,2,191,112;80,112,96,0.25;0.04,79.15,247.571156,126.339773,38.343792,ok
ascending_the_vale,croma,384,12,0.7,269,0.06423130078,1.132481678,46.11094086,1,115,115,115,115,0.40,33.98,247.571156,174.962357,19.781708,ok
ascending_the_vale,croma,384,12,0.9,346,0.08552418163,1.206987792,16.00955783,2,38,6;32,32,19,0.11;0.22,44.32,247.571156,223.538503,2.947458,ok
batty_mcfaddin,croma,497,12,0.5,248,0.2595851508,1.197901373,182.7441823,2,247,40;209,209,124.5,0.00;0.20,70.50,200.524626,102.234559,83.499167,ok
batty_mcfaddin,croma,497,12,0.7,348,0.2150582805,0.7378939287,110.0473045,2,149,125;24,125,74.5,0.06;0.00,14.31,200.524626,141.708481,43.119875,ok
batty_mcfaddin,croma,497,12,0.9,447,0.2111888664,1.17309087,35.8183104,2,50,2;48,48,25,0.01;0.02,65.87,200.524626,180.787664,6.184708,ok
hgf_corta,croma,183,12,0.5,92,0.3788725775,0.5976524324,61.70008755,1,91,91,91,91,2.40,22.78,89.920136,44.943084,4.095416,ok
hgf_corta,croma,183,12,0.7,128,0.2891206323,0.5073882833,35.9595018,1,55,55,55,55,0.36,11.77,89.920136,62.26517,2.100166,ok
hgf_corta,croma,183,12,0.9,165,0.376886853,0.8818794249,10.61460631,1,18,18,18,18,2.33,68.16,89.920136,81.328753,0.333,ok
hgf_corta,mfcc,183,12,0.5,92,25.84835518,68.76368177,5224.859724,2,91,85;6,85,45.5,0.02;0.07,56.69,89.920136,46.313061,4.275125,ok
hgf_corta,mfcc,183,12,0.7,128,27.19275092,62.2327887,3287.305213,2,55,1;54,54,27.5,0.08;0.03,48.30,89.920136,62.706348,2.149417,ok
hgf_corta,mfcc,183,12,0.9,165,13.32332185,45.52687878,987.4130925,1,18,18,18,18,0.04,21.94,89.920136,81.096554,0.331333,ok
hgf_larga,croma,620,12,0.5,310,0.1719085804,0.3809374883,172.7152409,1,309,310,310,310,0.01,6.29,359.920136,179.570749,161.124583,ok
hgf_larga,croma,620,12,0.7,434,0.1996971207,0.395720558,103.8103114,1,186,186,186,186,0.04,7.76,359.920136,252.783265,82.947875,ok
hgf_larga,croma,620,12,0.9,558,0.2342669204,0.747951215,34.12206952,1,62,62,62,62,0.20,68.94,359.920136,323.813106,12.181333,ok
hgf_larga,mfcc,620,12,0.5,310,24.93527618,34.7592321,15369.06562,1,309,310,310,310,1.54,7.86,359.920136,179.686848,160.857,ok
hgf_larga,mfcc,620,12,0.7,434,18.487214,42.82247183,9085.74948,1,186,186,186,186,0.23,17.10,359.920136,250.948888,82.01825,ok
hgf_larga,mfcc,620,12,0.9,558,11.3809021,66.17762342,2856.774282,1,62,62,62,62,0.01,49.90,359.920136,323.279048,12.368875,ok
hgf_media,croma,431,12,0.5,216,0.2684492503,1.266129966,132.3112783,1,215,215,215,215,0.14,97.82,199.9361,100.090295,54.092917,ok
hgf_media,croma,431,12,0.7,302,0.3180137261,0.8006619262,77.74898302,1,129,129,129,129,0.56,59.45,199.9361,140.075057,27.903708,ok
hgf_media,croma,431,12,0.9,388,0.2921383063,0.978066557,25.32419818,1,43,43,43,43,0.28,83.37,199.9361,179.688299,4.12825,ok
hgf_media,mfcc,431,12,0.5,216,21.16676595,69.94306477,12315.54075,1,215,215,215,215,0.40,58.81,199.9361,101.019093,53.821709,ok
hgf_media,mfcc,431,12,0.7,302,25.1083553,82.45067629,6990.989811,1,129,129,129,129,1.11,72.46,199.9361,139.424898,27.711958,ok
hgf_media,mfcc,431,12,0.9,388,12.14884727,29.2298832,2323.295318,1,43,43,43,43,0.02,2.59,199.9361,179.89728,4.118708,ok
suspense,croma,645,12,0.5,322,0.3334529937,1.48832187,202.2688592,2,321,295;28,295,161.5,0.16;0.01,94.65,239.931428,119.884262,182.003666,ok
suspense,croma,645,12,0.7,451,0.3105369707,0.5578331561,124.529845,2,194,192;2,192,97,0.15;0.00,4.30,239.931428,167.996008,94.529708,ok
suspense,croma,645,12,0.9,580,0.2606465716,1.596215327,40.85184032,2,65,59;6,59,32.5,0.06;0.01,97.23,239.931428,215.759456,13.56775,ok
suspense,mfcc,645,12,0.5,322,26.38268924,80.81993273,20486.53956,2,321,1;322,322,161.5,0.00;0.19,44.15,239.931428,119.907483,181.050292,ok
suspense,mfcc,645,12,0.7,451,18.17723481,53.95470183,12763.51401,1,194,194,194,194,0.16,16.90,239.931428,167.694149,93.084166,ok
suspense,mfcc,645,12,0.9,580,18.29703235,145.440498,3897.42231,2,65,12;53,53,32.5,0.04;0.00,77.58,239.931428,216.270294,13.717417,ok
