nombre,proporcion,k,saltos_croma,saltos_mfcc,mejora_croma,mejora_mfcc,jaccard,jaccard_descartados,descartado_s,solapamiento_s
hgf_corta,0.5,92,1,2,0.6339346365,0.3759012682,0.2105263158,0.2052980132,44.977052,15.023311
hgf_corta,0.7,128,1,2,0.5698212628,0.4369521516,0.6202531646,0.2941176471,27.654966,12.631656
hgf_corta,0.9,165,1,1,0.4273677811,0.2926473812,0.8644067797,0.2,8.591383,2.902494
hgf_larga,0.5,310,1,1,0.4512776654,0.717371319,0.180952381,0.180952381,180.349387,56.517369
hgf_larga,0.7,434,1,1,0.5046417647,0.4317175822,0.5753176044,0.2277227723,107.136871,40.100862
hgf_larga,0.9,558,1,1,0.3132114979,0.1719750803,0.8,0,36.10703,0
hgf_media,0.5,216,1,1,0.2120234554,0.3026285168,0.6301886792,0.6287878788,99.845805,76.83483
hgf_media,0.7,302,1,1,0.3971885208,0.3045257653,0.4013921114,0,59.861043,0
hgf_media,0.9,388,1,1,0.2986895976,0.4156310576,0.8004640371,0,20.247801,0
suspense,0.5,322,2,2,0.2240462902,0.3264379015,0.301010101,0.3024193548,120.047166,55.658231
suspense,0.7,451,2,1,0.5566843192,0.3368980681,0.3984496124,0,71.93542,0
suspense,0.9,580,2,2,0.1632903576,0.1258042471,0.7984496124,0,24.171972,0
