instancia,n,d,k,algoritmo,costo,nodos,ms,ms_min,ms_max,corridas,estado
batty_mcfaddin,6,12,4,fb,0.7777586708,,0.001,0.000958,0.001417,3,ok
batty_mcfaddin,6,12,4,bt,0.7777586708,8,0.001125,0.000916,0.001416,3,ok
batty_mcfaddin,6,12,4,pd,0.7777586708,,0.001541,0.0015,0.001625,3,ok
batty_mcfaddin,8,12,6,fb,0.695557769,,0.002125,0.002,0.002208,3,ok
batty_mcfaddin,8,12,6,bt,0.695557769,9,0.001375,0.001209,0.001417,3,ok
batty_mcfaddin,8,12,6,pd,0.695557769,,0.001791,0.001542,0.002125,3,ok
batty_mcfaddin,10,12,7,fb,0.6383920426,,0.005,0.004833,0.007167,3,ok
batty_mcfaddin,10,12,7,bt,0.6383920426,16,0.001625,0.0015,0.001875,3,ok
batty_mcfaddin,10,12,7,pd,0.6383920426,,0.002417,0.002208,0.003167,3,ok
batty_mcfaddin,12,12,8,fb,0.3650651723,,0.01725,0.016417,0.01825,3,ok
batty_mcfaddin,12,12,8,bt,0.3650651723,19,0.001792,0.001667,0.002208,3,ok
batty_mcfaddin,12,12,8,pd,0.3650651723,,0.0025,0.0025,0.002584,3,ok
batty_mcfaddin,14,12,10,fb,0.3650651723,,0.043042,0.042958,0.044,3,ok
batty_mcfaddin,14,12,10,bt,0.3650651723,27,0.00225,0.002208,0.002292,3,ok
batty_mcfaddin,14,12,10,pd,0.3650651723,,0.002958,0.002875,0.003417,3,ok
batty_mcfaddin,16,12,11,fb,0.5151186756,,0.185083,0.183458,0.187417,3,ok
batty_mcfaddin,16,12,11,bt,0.5151186756,44,0.003417,0.003416,0.003709,3,ok
batty_mcfaddin,16,12,11,pd,0.5151186756,,0.003834,0.003583,0.003958,3,ok
batty_mcfaddin,18,12,13,fb,0.5151186756,,0.438416,0.434458,0.450416,3,ok
batty_mcfaddin,18,12,13,bt,0.5151186756,43,0.003375,0.003334,0.003417,3,ok
batty_mcfaddin,18,12,13,pd,0.5151186756,,0.00425,0.004125,0.00475,3,ok
batty_mcfaddin,20,12,14,fb,0.6342762963,,2.063875,2.007833,2.099834,3,ok
batty_mcfaddin,20,12,14,bt,0.6342762963,118,0.007083,0.006584,0.007083,3,ok
batty_mcfaddin,20,12,14,pd,0.6342762963,,0.0055,0.005166,0.005583,3,ok
batty_mcfaddin,22,12,15,fb,0.6548419046,,9.287708,9.207416,9.300667,3,ok
batty_mcfaddin,22,12,15,bt,0.6548419046,132,0.008666,0.008208,0.011625,3,ok
batty_mcfaddin,22,12,15,pd,0.6548419046,,0.006417,0.006375,0.006584,3,ok
batty_mcfaddin,24,12,17,fb,0.5105808751,,22.917,22.13625,22.940416,3,ok
batty_mcfaddin,24,12,17,bt,0.5105808751,49,0.004709,0.004542,0.004834,3,ok
batty_mcfaddin,24,12,17,pd,0.5105808751,,0.007292,0.007042,0.007334,3,ok
batty_mcfaddin,26,12,18,fb,0.1960642242,,101.588416,101.454459,103.255583,3,ok
batty_mcfaddin,26,12,18,bt,0.1960642242,24,0.003041,0.003041,0.003084,3,ok
batty_mcfaddin,26,12,18,pd,0.1960642242,,0.009292,0.00925,0.009958,3,ok
batty_mcfaddin,28,12,20,fb,0.1960642242,,225.793709,225.309416,226.511375,3,ok
batty_mcfaddin,28,12,20,bt,0.1960642242,33,0.003375,0.003292,0.003542,3,ok
batty_mcfaddin,28,12,20,pd,0.1960642242,,0.0105,0.010084,0.010667,3,ok
batty_mcfaddin,30,12,21,fb,0.5565258574,,1044.250042,1044.18675,1052.698167,3,ok
batty_mcfaddin,30,12,21,bt,0.5565258574,277,0.01525,0.014917,0.015291,3,ok
batty_mcfaddin,30,12,21,pd,0.5565258574,,0.012959,0.012708,0.013125,3,ok
batty_mcfaddin,32,12,22,fb,0.5136491734,,4794.551042,4794.284292,4798.08975,3,ok
batty_mcfaddin,32,12,22,bt,0.5136491734,229,0.014083,0.013916,0.01425,3,ok
batty_mcfaddin,32,12,22,pd,0.5136491734,,0.015708,0.015542,0.016916,3,ok
batty_mcfaddin,34,12,24,fb,0.5136491734,,11101.97521,11101.00521,11103.63012,3,ok
batty_mcfaddin,34,12,24,bt,0.5136491734,287,0.017417,0.017167,0.01775,3,ok
batty_mcfaddin,34,12,24,pd,0.5136491734,,0.018209,0.017541,0.018333,3,ok
batty_mcfaddin,40,12,28,bt,0.2496562437,161,0.011375,0.011167,0.012625,3,ok
batty_mcfaddin,40,12,28,pd,0.2496562437,,0.028458,0.027583,0.028667,3,ok
batty_mcfaddin,50,12,35,bt,0.5262830322,1565,0.126125,0.124708,0.126833,3,ok
batty_mcfaddin,50,12,35,pd,0.5262830322,,0.051333,0.050834,0.055458,3,ok
batty_mcfaddin,75,12,52,bt,0.2763332228,649,0.0915,0.091333,0.091916,3,ok
batty_mcfaddin,75,12,52,pd,0.2763332228,,0.165542,0.164542,0.171041,3,ok
batty_mcfaddin,100,12,70,bt,0.3897984351,10090,1.443,1.440167,1.536834,3,ok
batty_mcfaddin,100,12,70,pd,0.3897984351,,0.367417,0.365167,0.373541,3,ok
